exp_version,subject_num,trial_num,information,decision,mod2_linear,mod3_entropy,mod4_res_uncertainty
EXP1,623_SS,132,slots visible: 1,0,0.2,0.104,0
EXP1,623_SS,133,slots visible: 2,1,0.4,0.2282,0
EXP1,623_SS,134,slots visible: 2,1,0.4,0.2282,0
EXP1,623_SS,135,slots visible: 3,0,0.6,0.3915,0.25
EXP1,623_SS,136,slots visible: 3,0,0.6,0.3915,0.25
EXP1,623_SS,137,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,138,slots visible: 3,1,0.6,0.3915,0.25
EXP1,623_SS,139,slots visible: 2,1,0.4,0.2282,0
EXP1,623_SS,140,slots visible: 0,1,0,0,0
EXP1,623_SS,141,slots visible: 3,1,0.6,0.3915,0.25
EXP1,623_SS,142,slots visible: 5,1,1,1,1
EXP1,623_SS,143,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,144,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,145,slots visible: 3,1,0.6,0.3915,0.25
EXP1,623_SS,146,slots visible: 2,0,0.4,0.2282,0
EXP1,623_SS,147,slots visible: 1,1,0.2,0.104,0
EXP1,623_SS,148,slots visible: 1,1,0.2,0.104,0
EXP1,623_SS,149,slots visible: 1,1,0.2,0.104,0
EXP1,623_SS,150,slots visible: 2,0,0.4,0.2282,0
EXP1,623_SS,151,slots visible: 0,0,0,0,0
EXP1,623_SS,152,slots visible: 1,1,0.2,0.104,0
EXP1,623_SS,153,slots visible: 0,0,0,0,0
EXP1,623_SS,154,slots visible: 1,0,0.2,0.104,0
EXP1,623_SS,155,slots visible: 1,1,0.2,0.104,0
EXP1,623_SS,156,slots visible: 1,1,0.2,0.104,0
EXP1,623_SS,157,slots visible: 2,0,0.4,0.2282,0
EXP1,623_SS,158,slots visible: 1,1,0.2,0.104,0
EXP1,623_SS,159,slots visible: 3,1,0.6,0.3915,0.25
EXP1,623_SS,160,slots visible: 5,1,1,1,1
EXP1,623_SS,161,slots visible: 5,1,1,1,1
EXP1,623_SS,162,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,163,slots visible: 0,1,0,0,0
EXP1,623_SS,164,slots visible: 2,1,0.4,0.2282,0
EXP1,623_SS,165,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,166,slots visible: 5,1,1,1,1
EXP1,623_SS,167,slots visible: 2,0,0.4,0.2282,0
EXP1,623_SS,168,slots visible: 0,1,0,0,0
EXP1,623_SS,169,slots visible: 4,0,0.8,0.625,0.625
EXP1,623_SS,170,slots visible: 0,1,0,0,0
EXP1,623_SS,171,slots visible: 3,0,0.6,0.3915,0.25
EXP1,623_SS,172,slots visible: 4,0,0.8,0.625,0.625
EXP1,623_SS,173,slots visible: 4,1,0.8,0.625,0.625
EXP1,623_SS,174,slots visible: 2,0,0.4,0.2282,0
EXP1,623_SS,175,slots visible: 2,0,0.4,0.2282,0
EXP1,623_SS,176,slots visible: 0,1,0,0,0
EXP1,623_SS,177,slots visible: 3,1,0.6,0.3915,0.25
EXP1,623_SS,178,slots visible: 4,0,0.8,0.625,0.625
EXP1,623_SS,179,slots visible: 4,0,0.8,0.625,0.625
EXP1,623_SS,180,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,1,slots visible: 2,0,0.4,0.2282,0
EXP1,624_TN,2,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,3,slots visible: 5,1,1,1,1
EXP1,624_TN,4,slots visible: 1,1,0.2,0.104,0
EXP1,624_TN,5,slots visible: 0,1,0,0,0
EXP1,624_TN,6,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,7,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,8,slots visible: 0,1,0,0,0
EXP1,624_TN,9,slots visible: 5,1,1,1,1
EXP1,624_TN,10,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,11,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,12,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,13,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,14,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,15,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,16,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,17,slots visible: 0,1,0,0,0
EXP1,624_TN,18,slots visible: 1,0,0.2,0.104,0
EXP1,624_TN,19,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,20,slots visible: 5,1,1,1,1
EXP1,624_TN,21,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,22,slots visible: 4,1,0.8,0.625,0.625
EXP1,624_TN,23,slots visible: 1,0,0.2,0.104,0
EXP1,624_TN,24,slots visible: 1,1,0.2,0.104,0
